dep_city_name,arr_city_name,dep_city_code,arr_city_code,url,dep_country_code,arr_country_code,Keywords,Search volume
Istanbul,Doha,IST,DOH,istanbul-doha-flights.html,TR,QA,istanbul to doha flights,390
San Diego,Albuquerque,SAN,ABQ,san-diego-albuquerque-flights.html,US,US,san diego to albuquerque flights,390
San Jose,Cancun,SJO,CUN,san-jose-cancun-flights.html,CR,MX,san jose to cancun flights,390
Buffalo,San Diego,BUF,SAN,buffalo-san-diego-flights.html,US,US,buffalo to san diego flights,390
Milan,Ibiza,MIL,IBZ,milan-ibiza-flights.html,IT,ES,milan to ibiza flights,390
Bangalore,San Francisco,BLR,SFO,bangalore-san-francisco-flights.html,IN,US,bangalore to san francisco flights,390
Harrisburg,Chicago,HAR,CHI,harrisburg-chicago-flights.html,US,US,harrisburg to chicago flights,390
Bangalore,Jeddah,BLR,JED,bangalore-jeddah-flights.html,IN,SA,bangalore to jeddah flights,390
Kuwait,Paris,KWI,PAR,kuwait-paris-flights.html,KW,FR,kuwait to paris flights,390
Melbourne,Abu Dhabi,MEL,AUH,melbourne-abu-dhabi-flights.html,AU,AE,melbourne to abu dhabi flights,390
Amritsar,Jammu,ATQ,IXJ,amritsar-jammu-flights.html,IN,IN,amritsar to jammu flights,390
Houston,Colorado Springs,HOU,COS,houston-colorado-springs-flights.html,US,US,houston to colorado springs flights,390
Paris,Genoa,PAR,GOA,paris-genoa-flights.html,FR,IT,paris to genoa flights,390
Madison,New York,MSN,NYC,madison-new-york-flights.html,US,US,madison to new york flights,390
Houston,San Jose,HOU,SJC,houston-san-jose-flights.html,US,US,houston to san jose flights,390
Belize City,Placencia,BZE,PLJ,belize-city-placencia-flights.html,BZ,BZ,belize city to placencia flights,390
San Jose,Atlanta,SJC,ATL,san-jose-atlanta-flights.html,US,US,san jose to atlanta flights,390
Dubai,Copenhagen,DXB,CPH,dubai-copenhagen-flights.html,AE,DK,dubai to copenhagen flights,390
New Delhi,Aurangabad,DEL,IXU,new-delhi-aurangabad-flights.html,IN,IN,new delhi to aurangabad flights,390
Jakarta,Padang,JKT,PDG,jakarta-padang-flights.html,ID,ID,jakarta to padang flights,390
Jakarta,Manado,JKT,MDC,jakarta-manado-flights.html,ID,ID,jakarta to manado flights,390
Amsterdam,Atlanta,AMS,ATL,amsterdam-atlanta-flights.html,NL,US,amsterdam to atlanta flights,390
