Carrier_code,carrier_name_en,carrier_name_hi,carrier_name_ar
9D,Toumai Air Tchad,टुमाईएयरचाड,طيرانتومانيتشاد
9H,Dutch Antilles,डचएंटिल्स,الأنتيلالهولندية
9J,Dana Airlines,दानाएयरलाइंस,خطوطداناللطيران
9K,Cape Air,केपएयर,كيبللطيران
9M,Central Mountain,सेंट्रलमाउंटेन,طيرانسنترالماونتن
9N,ANA & JP Express,एएनए एंड जेपी एक्सप्रेस,تروبيكللطيران
9N,Tropic Air,ट्रॉपिक एयर,تروبيكللطيران
9R,SATENA,सटेना,ساتينا
9R,Phuket Air,फुकेत एयर,ساتينا
9U,Air Moldova,एयरमाल्डोवा,طيرانمولودوفا
9V,AMC Airlines,एएमसीएयरलाइंस,خطوطأفيورالجوية
9V,Avior Airlines,एवरियर एयरलाइंस,خطوطأفيورالجوية
9W,Jet Airways,जेटएयरवेज,Jet Airwaysخطوطجيتالجوية
9W-K,Jet Konnect,जेटकनेक्ट,جيتكونكت
9Y,Fly Georgia,फ्लाईजॉर्जिया,فلايجورجيا
A2,Astra Airlines,एस्ट्राएयरलाइंस,خطوطأستراالجوية
A2,Cielos Airlines,सिलोस एयरलाइन्स,خطوطأستراالجوية
A3,Aegean Airlines,एजियनएयरलाइंस,الخطوطالجويةايجه
A4,Aerocon,एयरोकोन,آيروكون
A5,Airlinair,एयरलाईनर,ايرليناير
A8,Ameriflight,एमरफ्लाईट,أميريفلايت
A8,Benin Golf Air,बेनिन गोल्फ एयर,أميريفلايت
A9,Georgian Airways,जॉर्जियन एयरवेज,ايرزينا-الخطوطالجويةالجورجية
AA,American Airlines,अमेरिकनएयरलाइंस,الخطوطالجويةالأمريكية
AB,Air Berlin,एयरबर्लिन,طيرانبرلين
AC,Air Canada,एयर कनाडा,طيرانكندا
AD,Azul Brazilian Airlines,अजुलब्राजीलएयरलाइंस,خطوطآزولبرازيليانالجوية
AE,Mandarin Airlines,मंदारिनएयरलाइंस,الخطوطالجويةماندارين
AF,Air France,एयरफ्रांस,الخطوطالجويةالفرنسية
AH,Air Algerie,एयरअल्जीरियाई,الخطوطالجويةالجزائرية
AI,Air India,एयर इंडिया,ايرماركللملاحةالجويةالأندونيسية
AI,Airmark IndonesianAviation,एयरमार्क इंडोनेशियनवेविएशन,ايرماركللملاحةالجويةالأندونيسية
AK,Air Asia,एयरएशिया,طيرانآسيا
AM,Aeromexico,एयरोमेक्सीको,طيرانالمكسيك
AP,Air One,एयरवन,طيرانون
AR,Aerolineas Argentinas,एयरोलाईनीसआर्जेंटीनस,الخطوطالجويةالأرجنتينية
AS,Alaska Airlines,अलास्का एयरलाइंस,خطوطألاسكاالجوية
AT,Royal Air Maroc,रॉयलएयरमेरोक,الخطوطالملكيةالمغربية
AV,Avianca Aerovias,एवीआंकाएयरोवीयस,أفيانكاايروفياس
AW,Africa World Airlines,अफ्रीका वर्ल्ड एयरलाइंस,خطوطأفريكاورلدالجوية
AY,Finnair,फिनएयर,فينإير
AZ,Alitalia,अलीतालीआ,أليتاليا
B2,Belavia,बेलावीआ,بيلافايا
B3,Bellview Airlines,बेलव्यूएयरलाइंस,خطوطبيلفيوالجوية
B5,East African Safari Air,ईस्ट अफ्रीकन सफारी एयर,ايستأفريكاسافاريللطيران
B6,JetBlue Airways,जेटब्लूएयरवेज,الخطوطالجويةجيتبلو
B7,Uni Air,यूएनआईकोर्पोरेशन,شركةالطيرانيوني
B8,Eritrean Airlines,एरीस्ट्रीनएयरलाइंस,الخطوطالجويةالإريترية
BA,British Airways,ब्रिटिशएयरवेज,الخطوطالجويةالبريطانية
BB,Seaborne Airlines,सेबॉर्न एयरलाइंस,خطوطسيبورنالجوية
BC,Skymark Airlines,स्कायमार्कएयरलाइंस,خطوطسكايماركالجوية
BE,FlyBe,फ्लायबी,فلايبي
BF,Aéro-Service,ऐरो-सर्विस,بلوبيردللشحن
BF,Bluebird Cargo,ब्लूबर्ड कार्गो,بلوبيردللشحن
BG,Biman Bangladesh,बिमानबांग्लादेश,بيمانبنغلادش
BH,Hawkair,हॉक एयर,هواكللطيران
BI,Royal Brunei Air,रॉयलब्रुनेईएयर,طيرانبرونايالملكي
BJ,Nouvelair,नोवेलेअर,الطيرانالجديدتونس
BK,Okay Airways,ओकेएयरवेज,خطوطأوكيالجوية
BL,Jetstar Pacific Airlines,जेटस्टार पेसिफिकएयरलाइंस,خطوطالباسيفيكالجوية
