airport_code,city_code,airport_name_en,airport_name_ar,airport_name_hi,Address in English,Address in Arabic,,Email,Phone,Website
AOI,AOI,Ancona - Falconara Airport,,,,,,,,
AOJ,AOJ,Aomori Airport,,,,,,,,
AOK,AOK,Karpathos Island National Airport,,,,,,,,
AOO,AOO,Altoona-blair County Airport,,,,,,,,
AOQ,,,,,,,,,,
AOR,AOR,Sultan Abdul Halim Airport,,,,,,,,
AOS,RBV,Amook Bay Seaplane Base,,,,,,,,
AOU,,,,,,,,,,
APF,APF,Naples Municipal Airport,,,,,,,,
APK,APK,Apataki Airport,,,,,,,,
APL,APL,Nampula Airport,,,,,,,,
APN,APN,Alpena County Regional Airport,,,,,,,,
APO,IPI,Antonio Roldan Betancourt Airport,,,,,,,,
APW,APW,Faleolo International Airport,,,,,,,,
AQG,AQG,Anqing Airport,,,,,,,,
AQI,AQI,Hafr Al Batin Airport,,,,,,,,
AQJ,AQJ,Aqaba King Hussein International Airport,,,,,,,,
AQP,AQP,Rodrguez Balln International Airport,,,,,,,,
ARC,,,,,,,,,,
ARD,,,,,,,,,,
ARH,ARH,Talagi Airport,,,,,,,,
ARI,ARI,Chacalluta International Airport,,,,,,,,
ARK,ARK,Arusha Airport,,,,,,,,
ARM,ARM,Armidale Airport,,,,,,,,
ARN,STO,Stockholm Arlanda Airport,,,,,,,,
ART,ART,Watertown International Airport,,,,,,,,
ARU,,,,,,,,,,
ASB,ASB,Ashgabat Airport,,,,,,,,
ASE,ASE,Aspen-pitkin County Airport,,,,,,,,
ASF,ASF,Astrakhan Airport,,,,,,,,
ASJ,ASJ,Amami Airport,,,,,,,,
ASM,ASM,Asmara International Airport,,,,,,,,
ASO,ASO,Asosa Airport,,,,,,,,
ASP,ASP,Alice Springs Airport,,,,,,,,
ASR,ASR,Kayseri Erkilet Airport,,,,,,,,
ASS,,,,,,,,,,
ASU,ASU,Silvio Pettirossi International Airport,,,,,,,,
ASV,ASV,Amboseli Airport,,,,,,,,
ASW,ASW,Aswan International Airport,,,,,,,,
ATA,,,,,,,,,,
ATC,ATC,Arthurs Town Airport,,,,,,,,
ATD,ATD,Uru Harbour Airport,,,,,,,,
ATH,ATH,Athens International Airport,,,,,,,,
ATK,,,,,,,,,,
ATL,ATL,Hartsfield-jackson Atlanta International Airport,,,,,,,,
ATM,,,,,,,,,,
ATQ,ATQ,Sri Guru Ram Dass Jee International Airport,,,,,,,,
ATT,,,,,,,,,,
ATW,ATW,Outagamie County Regional Airport,,,,,,,,
ATZ,ATZ,Assiut International Airport,,,,,,,,
AUA,AUA,Queen Beatrix International Airport,,,,,,,,
AUC,AUC,Santiago Perez Airport,,,,,,,,
AUG,AUG,Augusta State Airport,,,,,,,,
AUH,AUH,Abu Dhabi International Airport,,,,,,,,
AUK,ATK,Alakanuk Airport,,,,,,,,
AUQ,AUQ,Hiva Oa-atuona Airport,,,,,,,,
AUR,AUR,Aurillac Airport,,,,,,,,
AUS,AUS,Austin-bergstrom International Airport,,,,,,,,
AUX,VLV,Aragua-na Airport,,,,,,,,
AUY,AUY,Aneityum Airport,,,,,,,,
AVA,HSN,Anshun Huangguoshu Airport,,,,,,,,
AVL,AVL,Asheville Regional Airport,,,,,,,,
AVN,AVN,Avignon-caumont Airport,,,,,,,,
AVP,AVP,Wilkes-barre-scranton International Airport,,,,,,,,
AVV,MEL,Avalon Airport,,,,,,,,
AWA,,,,,,,,,,
AWD,AWD,Aniwa Airport,,,,,,,,
AWZ,AWZ,Ahwaz Airport,,,,,,,,
AXA,AXA,Clayton J Lloyd International Airport,,,,,,,,
AXD,AXD,Dimokritos Airport,,,,,,,,
AXF,,,,,,,,,,
AXM,AXM,El Edn International Airport,,,,,,,,
AXP,AXP,Spring Point Airport,,,,,,,,
AXR,AXR,Arutua Airport,,,,,,,,
AXT,AXT,Akita Airport,,,,,,,,
AXU,AXU,Axum Airport,,,,,,,,
AYM,,,,,,,,,,
AYP,AYP,Coronel Fap Alfredo Mendivil Duarte Airport,,,,,,,,
AYQ,AYQ,Ayers Rock Connellan Airport,,,,,,,,
AYT,AYT,Antalya Airport,,,,,,,,
AZD,AZD,Shahid Sadooghi Airport,,,,,,,,
AZN,AZN,Andizhan Airport,,,,,,,,
AZO,AZO,Kalamazoo-battle Creek International Airport,,,,,,,,
AZR,AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,,,,,,,,
AZS,AZS,Saman El Catey International Airport,,,,,,,,
BAD,,,,,,,,,,
BAH,BAH,Bahrain International Airport,,,,,,,,
BAL,,,,,,,,,,
BAQ,BAQ,Ernesto Cortissoz International Airport,,,,,,,,
BAS,BAS,Ballalae Airport,,,,,,,,
BAV,BAV,Baotou Airport,,,,,,,,
BAX,BAX,Barnaul Airport,,,,,,,,
BBA,BBA,Balmaceda Airport,,,,,,,,
BBI,BBI,Biju Patnaik Airport,,,,,,,,
BBK,BBK,Kasane Airport,,,,,,,,
BBN,BBN,Bario Airport,,,,,,,,
BBO,,,,,,,,,,
BCA,,,,,,,,,,
BCD,BCD,Bacolod-silay City International Airport,,,,,,,,
BCI,BCI,Barcaldine Airport,,,,,,,,
BCM,BCM,Bacu Airport,,,,,,,,
BCN,BCN,Barcelona-el Prat Airport,,,,,,,,
BDL,BDL,Bradley International Airport,,,,,,,,
BCV,,,,,,,,,,
BDA,BDA,Lf Wade International Airport,,,,,,,,
BDB,BDB,Bundaberg Airport,,,,,,,,
BDH,BDH,Bandar Lengeh Airport,,,,,,,,
BDJ,BDJ,Syamsudin Noor Airport,,,,,,,,
BDO,BDO,Husein Sastranegara International Airport,,,,,,,,
BDP,BWA,Bhadrapur Airport,,,,,,,,
BDQ,BDQ,Vadodara Airport,,,,,,,,
BDS,BDS,Brindisi - Casale Airport,,,,,,,,
BDU,BDU,Bardufoss Airport,,,,,,,,
