city_code,city_name_en,city_name_ar,city_name_hi
AOR,Alor Setar,ألور ستار,अलोर सेतर
AOS,Amook Bay,,अमूक बे
AOU,"","",""
APF,Naples,نابولي,नेपल्स
APK,Apataki,أباتاكي,आपाटाकी
APL,Nampula,نامبولا,नेम्पुला
APN,Alpena,ألبينا,अल्पना
APO,Apartado,,अपार्टाडो
APW,Apia,آبيا,अपिया
AQG,Anqing,ان تشينغ,अंकिंग
AQI,Hafr Al Batin,حفر الباطن,हफ़र अल बातिन
AQJ,Aqaba,العقبة,अक़बा
AQP,Arequipa,أريكيبا,अरेक्विपा
ARC,Arctic Village,,अर्टीक विलेज
ARD,Alor Island,,अलोर आइलैंड
ARH,Arkhangelsk,أرخانغيلسك,आरखेंजाल्स्क
ARI,Arica,أريكا,एरिका
ARK,Arusha,أروشا,अरुशा
ARM,Armidale,أرميدال,आर्मिडेल
ART,Watertown,ووترتاون,वॉटरटाउन
ARU,Aracatuba,,आरेकट्यूबा
ASB,Ashkhabad,عشق أباد,अशकाबाद
ASE,Aspen,آسبين,ऐस्पन
ASF,Astrakhan,أستراخان,आस्ट्राखान
ASJ,Amami,أمامي,अमामी
ASM,Asmara,أسمرة,अस्मारा
ASO,Asosa,أسوسة,असोसा
ASP,Alice Springs,أليس سبرينغز,एलिस स्प्रिंग्स
ASR,Kayseri,قيصرية,कायसेरी
ASS,"","",""
ASU,Asuncion,أسونسيون,असंसियन
ASV,Amboseli National Park,حديقة أمبوسيلي الوطنية,अम्बोसेली राष्ट्रीय उद्यान
ASW,Aswan,أسوان,असवान
ATA,Anta,,अन्ता
ATC,Arthurs Town,آرثرز تاون,आर्थर टाउन
ATD,Atoifi,اتويفي,ऑटोफी
ATH,Athens,أثينا,एथेंस
ATK,Atqasuk,أتكيوسوك,अट्क़सुक
ATL,Atlanta,أتلانتا,अटलांटा
ATM,Altamira,,अल्तामिरा
ATQ,Amritsar,أمريتسار,अमृतसर
ATT,Austin,,ऑस्टिन
ATW,Appleton,أبليتون,एप्पलटन
ATY,"","",""
ATZ,Asyut,أسيوط,एसाइयट
AUA,Aruba,أروبا,अरूबा
AUC,Arauca,اروكا,अरौका
