airline_code
NG
IRG
LCT
ZB
6B
NO
9Y
AYD
4Y
ON
IAW
VG
ECB
X7
TNU
YZ
8I
N3
MJ
4T
AXK
XAR
NYT
7B
DN
LV
RN
O8
BTN
TZ
LC
Z6
VK
VH
MCJ
MY
D6
4H
ITI
EF
ZG
KR
L8
4P
MNG
7D
VTE
UD
T9
TNR
WJ
