city_code,city_name_en,city_name_hi,city_name_ar
ACE,Lanzarote,लांजरोटे,لانزاروت
ACH,Altenrhein,अल्टेनरहें,ألتنرهين
ACI,Alderney,ऑलडर्नी,آلديرني
ACK,Nantucket,नॅनटकेट,نانتوكيت
ACT,Waco,वाको,واكو
ACV,Arcata,अर्कटा,أركاتا
ACX,Xingyi,क्षिंगयइ,
ACY,Atlantic City,अटलांटिक सिटी,أتلانتيك سيتي
ACZ,"","",""
ADA,Adana,अड़ाना,أضنة
IZM,Izmir,इजमिर,إزمير
ADD,Addis Ababa,अदीस अबाबा,اديس ابابا
ADF,Adiyaman,आडिआमान,
ADH,Aldan,आल्डन,
ADK,Adak Island,अदक आइलैंड,جزيرة آداك
ADL,Adelaide,आडेलैडे,أديليد
ADQ,Kodiak,कोडिएक,كودياك
ADU,Ardabil,अर्दाबिल,أردبيل
ADZ,San Andres Island,सॅन अँन्ड्रिस आइलॅंड,جزيرة سان اندريس
AEB,Baise,बैस ,
BUE,Buenos Aires,बुएनोस एयर्स,بوينس آيرس
AER,Sochi,सोची,سوتشي
AES,Alesund,एल्संड,أليسوند
AEU,"","",""
AEX,Alexandria,अलेग्ज़ॅंड्रिया,الإسكندرية
AEY,Akureyri,अकुरैरी,أكوريري
AFA,San Rafael,सॅन राफाएल,سان رافائيل
AFL,Alta Floresta,अल्टा फ्लोरस्टा,
AFZ,"","",""
AGA,Agadir,अगाडिर,أكادير
MUC,Munich,म्यूनिख,ميونيخ
AGH,Angelholm Helsingborg,अन्गेल्होल्म हेलसिंगबर्ग,انغلهولم هلسنجبورج
AGM,Angmagssalik,अंगमगस्सालिक,
AGN,Angoon,अंगून,
AGP,Malaga,मालगा,مالقة
AGS,Augusta,अगस्ता,أوغستا
AGU,Aguascalientes,आग्वसकालिएंटस,أغواسكاليينتس
AGX,Agatti,अगाती,أجاتي
AHB,Abha,आभा,أبها
AHE,Ahe,एएचई,
AHO,Alghero,अल्घेरो,ألغيرو
AHU,Al Hociema,अल हॉसीमा,الحسيمة
AIT,Aitutaki,एयिटयूटकी,إيتوتاكي
AJA,Ajaccio,आजक्सिओ,أجاكسيو
AJF,Al Jawf,अल जाफ़,الجوف
AJI,Agri,अग्री,
AJK,"","",""
AJL,Aizawl,आइजोल,ايزاول
AJN,Anjouan,ऐंजुआन,أنجوان
AJR,Arvidsjaur,अरविदस्जौर,أرفيدزجوز
AJU,Aracaju,आरेकज्यू,أراكاجو
AKF,Kufra,कफ़रा,الكفرة
AKJ,Asahikawa,असाहिकावा,أساهيكاو
AKL,Auckland,ऑकलैंड,أوكلاند
AKN,King Salmon,किंग सामन,كينغ سالمون
AKP,Anaktuvuk Pass,अनाक्तुवुक पास,
AKR,"","",""
AKS,"","",""
AKU,Aksu,अक्सू,أكسو
AKX,Aktyubinsk,अकट्युबिंस्क,أكتوبي
AKY,Sittwe,सीट्त्वे,سيتوي
ALA,Almaty,अल्माटी,ألماتي
ALB,Albany,अल्बानी,ألباني
ALC,Alicante,अलीकांटे,أليكانتي
ALF,Alta,अल्टा,ألتا
ALG,Algiers,आल्जियर्स,الجزائر
ALO,Waterloo,वाटरलू,واترلو
ALW,Walla Walla,वाला वाला,والا والا
AMA,Amarillo,ऐमरिलो,أماريلو
AMD,Ahmedabad,अहमदाबाद,أحمد آباد
AMH,Arba Minch,अर्बा मिंच,أربا منتش
AMM,Amman,अम्मान,عمان
AMQ,Ambon,अम्बॉन,
AMS,Amsterdam,एम्स्टर्डम,أمستردام
ANA,"","",""
ANC,Anchorage,आंकरेज,أنكوريج
ANF,Antofagasta,अँटोफागस्टा,انتوفاجاستا
ANI,Aniak,एनिएक,أنياك
ANR,Antwerp,एंटवर्प,أنتويرب
ANU,Antigua,एंटीगुआ,أنتيغوا
AOE,Eskissehir,एसकीसहिर,
AOI,Ancona,एंकोना,أنكونا
AOJ,Aomori,ओमोरि ,أوموري
AOK,Karpathos,कारपाथोस,كارباثوس
AOO,Altoona Martinsburg,अल्टोना मार्टिंसबर्ग,التونا / مارتنزبيرغ
AOR,Alor Setar,अलोर सेतर,ألور ستار
APK,Apataki,आपाटाकी,أباتاكي
APL,Nampula,नेम्पुला,نامبولا
APN,Alpena,अल्पना,ألبينا
APO,Apartado,अपार्टाडो,
APW,Apia,अपिया,آبيا
AQG,Anqing,अंकिंग,ان تشينغ
AQI,Hafr Al Batin,हफ़र अल बातिन,حفر الباطن
AQJ,Aqaba,अक़बा,العقبة
AQP,Arequipa,अरेक्विपा,أريكيبا
ARD,Alor Island,अलोर आइलैंड,
ARH,Arkhangelsk,आरखेंजाल्स्क,أرخانغيلسك
ARI,Arica,एरिका,أريكا
ARK,Arusha,अरुशा,أروشا
ARM,Armidale,आर्मिडेल,أرميدال
STO,Stockholm,स्टॉकहोम,ستوكهولم
ART,Watertown,वॉटरटाउन,ووترتاون
ARU,Aracatuba,आरेकट्यूबा,
ASB,Ashkhabad,अशकाबाद,عشق أباد
ASE,Aspen,ऐस्पन,آسبين
ASF,Astrakhan,आस्ट्राखान,أستراخان
ASJ,Amami,अमामी,أمامي
ASM,Asmara,अस्मारा,أسمرة
ASO,Asosa,असोसा,أسوسة
ASP,Alice Springs,एलिस स्प्रिंग्स,أليس سبرينغز
ASR,Kayseri,कायसेरी,قيصرية
ASU,Asuncion,असंसियन,أسونسيون
ASW,Aswan,असवान,أسوان
ATH,Athens,एथेंस,أثينا
ATL,Atlanta,अटलांटा,أتلانتا
ATM,Altamira,अल्तामिरा,
ATQ,Amritsar,अमृतसर,أمريتسار
ATW,Appleton,एप्पलटन,أبليتون
ATZ,Asyut,एसाइयट,أسيوط
AUA,Aruba,अरूबा,أروبا
AUC,Arauca,अरौका,اروكا
AUH,Abu Dhabi,अबु धाबी,أبو ظبي
AUQ,Hiva Oa,हिवा ओवा,هيفا أوآ
AUR,Aurillac,आरिलेक,أوريلاك
AUS,Austin,ऑस्टिन,أوستن
AUX,Araguaina,एरागयाना,
AUY,Anelghowhat,अनलगौहाट,آنيلهو وات
AVL,Asheville Hendersonville,एशविल हेंडरसनविल,آشفيل / هينديرسونفيل
AVP,Scranton Wilkes Barre,स्क्रैंटन विल्केस-बेरे,سكرانتون ويلكس بار
MEL,Melbourne,मेलबर्न,ملبورن
AWA,Awasa,अवासा,
AWD,Aniwa,अनिवा,أنيوا
AWZ,Ahwaz,अहवाज़,الأحواز
AXA,Anguilla,एंगुइला,أنغيلا
AXD,Alexandroupolis,अलेक्सैंड्रोपोलिस,أليكساندروبولي
AXJ,"","",""
AXM,Armenia,आर्मीनिया,أرمينيا
AXR,Arutua,अरुतुअा,آروتوا
AXT,Akita,अकिता,أكيتا
AXU,Axum,एक्सम,أكسوم
AYP,Ayacucho,आइयकचो,أياكوتشو
AYQ,Ayers Rock,एयर्स रॉक,آيرز روك
AYT,Antalya,आंटलीया,أنطاليا
PHX,Phoenix,फीनिक्स,فينيكس
AZD,Yazd,याज़ड,يزد
AZO,Kalamazoo,कालामाजू ,كالامازو
AZR,Adrar,अदरार,أدرار
AZS,Samana,समाना,سمانا
BAH,Bahrain,बहेरेन,البحرين
BAL,Batman,बैटमैन,
BAQ,Barranquilla,बैरेंक्विला,بارانكويلا
BAR,"","",""
BAS,Ballalae,बॅललयी,بالالاي
BAV,Baotou,बाओटौ,باوتو
BAX,Barnaul,बर्नऊल,بارناول
BBA,Balmaceda,बाल्म्सेडा,بلماسيدا
BBI,Bhubaneswar,भुवनेश्वर,بوبانسوار
BBN,Bario,बरिओ,باريو
BCA,Baracoa Playa,बारकोआ प्लाइया,
BCD,Bacolod,बकोलोड,باكولود
BCM,Bacau,बकौ,باكاو
BCN,Barcelona,बार्सिलोना,برشلونة
BCU,"","",""
BDA,Bermuda Hamilton,बरमूडा हैमिल्टन,برمودا / هاملتون
BDB,Bundaberg,बुंडाबर्ग,بوندابرج
BDH,Bandar Lengeh,बंदर लेंगेह,بندر لنجة
BDJ,Banjarmasin,बंजरमासिन ,بانجارماسين
HFD,Hartford,हार्टफोर्ड,
BDO,Bandung,बांडुंग,باندونغ
BDP,Chandragarhi,चांद्रगरही,
BDQ,Vadodara,वडोदरा,فادودارا
BDS,Brindisi,ब्रिंडिसि,برينديزي
BDU,Bardufoss,बार्दुफॉस्स,باردوفوس
BEG,Belgrade,बेलग्रेड,بلغراد
