airport_code,city_code,airport_name_en
AAB,"",""
AAX,"",""
ABM,"",""
ABU,"",""
ACU,"",""
ADF,"",""
ADH,"",""
AET,"",""
AFL,"",""
AGN,"",""
AHJ,"",""
AIN,"",""
AJI,"",""
AJY,"",""
AKI,"",""
AKK,"",""
AKP,"",""
AMQ,"",""
AOE,"",""
AOQ,"",""
AOU,"",""
ARC,"",""
ARD,"",""
ARU,"",""
ASS,"",""
ATA,"",""
ATK,"",""
ATM,"",""
ATT,"",""
AWA,"",""
AXF,"",""
AYM,"",""
BAD,"",""
BAL,"",""
BBO,"",""
BCA,"",""
BCV,"",""
BEU,"",""
BFC,"",""
BFQ,"",""
BFX,"",""
BGG,"",""
BGN,"",""
BHQ,"",""
BHS,"",""
BJT,"",""
BJW,"",""
BKL,"",""
BKN,"",""
BKY,"",""
BLB,"",""
BLE,"",""
BMB,"",""
BNC,"",""
BOC,"",""
BPE,"",""
BQJ,"",""
BQL,"",""
BSC,"",""
BTI,"",""
BTK,"",""
BTT,"",""
BUC,"",""
BUX,"",""
BVH,"",""
BWE,"",""
BWX,"",""
BXB,"",""
BYM,"",""
BYO,"",""
BYP,"",""
BZR,"",""
CAB,"",""
CAP,"",""
CAW,"",""
CAZ,"",""
CBI,"",""
CBT,"",""
CCF,"",""
CCM,"",""
CDT,"",""
CED,"",""
CEE,"",""
CEG,"",""
CEM,"",""
CFB,"",""
CFG,"",""
CFK,"",""
CHR,"",""
CHT,"",""
CHU,"",""
CHX,"",""
CIK,"",""
CJF,"",""
CKD,"",""
CKH,"",""
CKX,"",""
CKZ,"",""
CLV,"",""
CMA,"",""
CMG,"",""
CMK,"",""
COL,"",""
CPD,"",""
CPS,"",""
CRZ,"",""
CSA,"",""
CSK,"",""
CTN,"",""
CUK,"",""
CXF,"",""
CXJ,"",""
CYD,"",""
CYF,"",""
CYX,"",""
CZH,"",""
CZS,"",""
DAV,"",""
DCF,"",""
DCG,"",""
DCY,"",""
DDU,"",""
DEE,"",""
DGA,"",""
DHB,"",""
DIQ,"",""
DIW,"",""
DJH,"",""
DKS,"",""
DMA,"",""
DMD,"",""
DNZ,"",""
DOD,"",""
DPT,"",""
DRV,"",""
DSE,"",""
DSI,"",""
DTB,"",""
DUM,"",""
DWO,"",""
DXE,"",""
