carrier_code,publish_status,table_airline_name,table_url,yml_airline_name,yml_url
QD,active,Jc (Cambodia) International Airlines,jc-cambodia-international-airlines,Jc (Cambodia) International Airlines,jc-cambodia-international-airlines
QE,active,Express Freighters Australia,express-freighters-australia-airlines,Express Freighters Australia,express-freighters-australia-airlines
QJ,active,Jet Airways Inc.,jet-airways-inc-airlines,Jet Airways Inc.,jet-airways-inc-airlines
QK,active,Air Canada Jazz,air-canada-jazz-airlines,Air Canada Jazz,air-canada-jazz-airlines
QL,active,Laser Airlines,laser-airlines,Laser Airlines,laser-airlines
QM,inactive,Monacair,,Air Malawi,air-malawi-airlines
QNZ,active,Jetconnect,jetconnect-airlines,Jetconnect,jetconnect-airlines
QO,active,Quikjet Cargo Airlines,quikjet-cargo-airlines,Quikjet Cargo Airlines,quikjet-cargo-airlines
QP,active,Starlight Airlines,starlight-airlines,Starlight Airlines,starlight-airlines
QQ,active,Alliance Airlines,alliance-airlines,Alliance Airlines,alliance-airlines
QT,active,Tampa Cargo S.A.S,tampa-cargo-sas-airlines,Tampa Cargo S.A.S,tampa-cargo-sas-airlines
QW,active,Qingdao Airline Co,qingdao-co-airlines,"Qingdao Airline Co, Ltd",qingdao-co-ltd-airlines
QX,active,Horizon Air,horizon-air-airlines,Horizon Air,horizon-air-airlines
QY,active,European Air Transport Leipzig Gmbh,european-air-transport-leipzig-gmbh-airlines,European Air Transport Leipzig Gmbh,european-air-transport-leipzig-gmbh-airlines
QZ,active,Indonesia Airasia,indonesia-airasia-airlines,Indonesia Airasia,indonesia-airasia-airlines
R2,inactive,Transair Senegal,,Transair Senegal,transair-senegal-airlines
R5,active,Jordan Aviation,jordan-aviation-airlines,Jordan Aviation,jordan-aviation-airlines
R6,active,Dot Lt,dot-lt-airlines,Dot Lt,dot-lt-airlines
R8,active,Sundance Air Venezuela,sundance-air-venezuela-airlines,Sundance Air Venezuela,sundance-air-venezuela-airlines
R9,active,Suasa Airlines,suasa-airlines,Suasa Airlines,suasa-airlines
RAC,active,Ryukyu Air Commuter,ryukyu-air-commuter-airlines,Ryukyu Air Commuter,ryukyu-air-commuter-airlines
RF,active,Florida West International Airways Inc.,florida-west-international-airways-inc-airlines,Florida West International Airways Inc.,florida-west-international-airways-inc-airlines
RFJ,active,Royal Falcon,royal-falcon-airlines,Royal Falcon,royal-falcon-airlines
RG,inactive,Rotanajet Aviation,,Varig S.A.,varig-sa-airlines
RGN,active,Cygnus Air,cygnus-air-airlines,Cygnus Air,cygnus-air-airlines
RH,active,Hong Kong Air Cargo Carrier Limited,hong-kong-air-cargo-carrier-limited-airlines,Hong Kong Air Cargo Carrier Limited,hong-kong-air-cargo-carrier-limited-airlines
RIH,active,Rahila Air,rahila-air-airlines,Rahila Air,rahila-air-airlines
RK,active,Skyview Airways Co Dba Skyview,skyview-airways-co-dba-skyview-airlines,Skyview Airways Co Dba Skyview,skyview-airways-co-dba-skyview-airlines
RL,active,Royal Flight Airlines,royal-flight-airlines,Royal Flight Airlines,royal-flight-airlines
RLT,active,Real Tonga,real-tonga-airlines,Real Tonga,real-tonga-airlines
RLY,active,Air Loyaute,air-loyaute-airlines,Air Loyaute,air-loyaute-airlines
