carrier_code,publish_status,table_airline_name,table_url,yml_airline_name,yml_url
0B,active,Blue Air,blue-air-airlines,Blue Air,blue-air-airlines
0D,inactive,Darwin Airlines,,translation missing: en.airlines.0D,translation-missing-en0d-airlines
2B,active,Bahrain Air,bahrain-air-airlines,Ak Bars Aero,ak-bars-aero-airlines
2B,inactive,Ak Bars Aero,,Ak Bars Aero,ak-bars-aero-airlines
2E,active,AVE.com,avecom-airlines,Smokey Bay Air,smokey-bay-air-airlines
2G,active,Cargoitalia,cargoitalia-airlines,Angara Airlines,angara-airlines
2G,inactive,Angara Airlines,,Angara Airlines,angara-airlines
2I,active,Star Peru,star-peru-airlines,Star Peru,star-peru-airlines
2J,active,Air Burkina,air-burkina-airlines,Air Burkina,air-burkina-airlines
2K,active,Avianca Ecuador,avianca-ecuador-airlines,Aero Galapagos,aero-galapagos-airlines
2L,active,Helvetic Airways,helvetic-airways-airlines,Helvetic Airways,helvetic-airways-airlines
2M,active,Moldavian Airlines,moldavian-airlines,Moldavian Airlines,moldavian-airlines
2N,active,Yuzmashavia,yuzmashavia-airlines,NextJet,nextjet-airlines
2N,inactive,NextJet,,NextJet,nextjet-airlines
2O,active,Redemption Inc,redemption-inc-airlines,Island Air Service,island-air-service-airlines
2P,active,PAL Express,pal-express-airlines,Philippines Corp,philippines-corp-airlines
2S,active,Air Carnival,air-carnival-airlines,Air Carnival,air-carnival-airlines
2T,inactive,TruJet,,translation missing: en.airlines.2T,translation-missing-en2t-airlines
2W,inactive,Welcome Air,,translation missing: en.airlines.2W,translation-missing-en2w-airlines
2Z,active,Changan Airlines,changan-airlines,Changan Airlines,changan-airlines
3B,active,Central Connect Airlines,central-connect-airlines,Binter Cabo Verde,binter-cabo-verde-airlines
3F,active,Pacific Airways,pacific-airways-airlines,Pacific Airways Inc,pacific-airways-inc-airlines
3G,active,Gambia Bird,gambia-bird-airlines,Gambia Bird,gambia-bird-airlines
3H,active,Air Inuit,air-inuit-airlines,Air Inuit,air-inuit-airlines
3J,active,Jubba Airways,jubba-airways-airlines,Jubba Airways,jubba-airways-airlines
3L,inactive,ky Luftfahrt,,translation missing: en.airlines.3L,translation-missing-en3l-airlines
3M,active,Gulfstream Intl,gulfstream-intl-airlines,Silver Airways Llc,silver-airways-llc-airlines
3P,active,Tiara Air Aruba,tiara-air-aruba-airlines,Tiara Air Aruba,tiara-air-aruba-airlines
3P,inactive,TransGlobal Airways,,Tiara Air Aruba,tiara-air-aruba-airlines
3R,active,Moskovia Airlines,moskovia-airlines,Moskovia Airlines,moskovia-airlines
3S,active,Aeroland Airways,aeroland-airways-airlines,Air Antilles Express,air-antilles-express-airlines
3S,inactive,Air Antilles Express,,Air Antilles Express,air-antilles-express-airlines
3U,active,Sichuan Airlines,sichuan-airlines,Sichuan Airlines,sichuan-airlines
3Z,active,Zoom Airways,zoom-airways-airlines,Travel Service Polska,travel-service-polska-airlines
3Z,inactive,Travel Service Polska,,Travel Service Polska,travel-service-polska-airlines
4B,active,Aviastar-TU,aviastar-tu-airlines,Boutique Air,boutique-air-airlines
4B,inactive,Perimeter Aviation,,Boutique Air,boutique-air-airlines
4D,active,Air Sinai,air-sinai-airlines,Air Sinai,air-sinai-airlines
4E,active,Stabo Air Limited,stabo-air-limited-airlines,Stabo Air Limited,stabo-air-limited-airlines
4G,active,Gazpromavia,gazpromavia-airlines,Gazpromavia,gazpromavia-airlines
4H,inactive,United Airways,,translation missing: en.airlines.4H,translation-missing-en4h-airlines
4K,active,Kenn Borek Air,kenn-borek-air-airlines,Kenn Borek Air,kenn-borek-air-airlines
4M,active,LAN Argentina,lan-argentina-airlines,LAN Argentina,lan-argentina-airlines
4N,active,Air North Yukons,air-north-yukons-airlines,Air North Yukons,air-north-yukons-airlines
4O,active,Interjet,interjet-airlines,Interjet,interjet-airlines
4Q,active,Safi Airways,safi-airways-airlines,Safi Airways,safi-airways-airlines
4T,inactive,Belair Airlines,,translation missing: en.airlines.4T,translation-missing-en4t-airlines
4U,active,Germanwings,germanwings-airlines,Germanwings,germanwings-airlines
4Y,inactive,Blue Line,,translation missing: en.airlines.4Y,translation-missing-en4y-airlines
4Y,inactive,Yute Air,,translation missing: en.airlines.4Y,translation-missing-en4y-airlines
5C,active,Nature Air,nature-air-airlines,C.A.L. Cargo Airlines,cal-cargo-airlines
5C,inactive,C.A.L. Cargo Airlines,,C.A.L. Cargo Airlines,cal-cargo-airlines
5E,active,Nok Mini,nok-mini-airlines,Nok Mini,nok-mini-airlines
5E,inactive,Equaflight Services,,Nok Mini,nok-mini-airlines
5G,active,Skyservice Airlines,skyservice-airlines,Aerocuahonte Sa De Cv,aerocuahonte-sa-de-cv-airlines
5H,active,Fly540,fly540-airlines,Fly540,fly540-airlines
5J,active,Cebu Pacific Air,cebu-pacific-air-airlines,Cebu Pacific Air,cebu-pacific-air-airlines
5M,active,Sibaviatrans,sibaviatrans-airlines,Montserrat Airways,montserrat-airways-airlines
5M,inactive,Montserrat Airways,,Montserrat Airways,montserrat-airways-airlines
5N,active,Nordavia,nordavia-airlines,Nordavia,nordavia-airlines
5O,active,Europe Airpost,europe-airpost-airlines,Europe Airpost,europe-airpost-airlines
5P,active,Pena Transportes Aéreos,pena-transportes-areos-airlines,Aerolinea Principal Chile,aerolinea-principal-chile-airlines
5P,inactive,Aerolinea Principal Chile,,Aerolinea Principal Chile,aerolinea-principal-chile-airlines
5Q,inactive,BQB Lineas Aereas,,translation missing: en.airlines.5Q,translation-missing-en5q-airlines
5V,active,Lviv Airlines,lviv-airlines,Lviv Airlines,lviv-airlines
5V,inactive,Everts Air,,Lviv Airlines,lviv-airlines
5W,active,Astraeus Ltd.,astraeus-ltd-airlines,Astraeus Ltd.,astraeus-ltd-airlines
6A,active,Aviacsa,aviacsa-airlines,Aviacsa,aviacsa-airlines
6E,active,IndiGo,indigo-airlines,IndiGo,indigo-airlines
6H,active,Israir Airlines,israir-airlines,Israir Airlines,israir-airlines
6I,active,Aviast Air,aviast-air-airlines,Air Alsie,air-alsie-airlines
6I,inactive,Air Alsie,,Air Alsie,air-alsie-airlines
6L,active,Aklak Air,aklak-air-airlines,Aklak Air,aklak-air-airlines
6W,active,Saratov Airlines,saratov-airlines,Saratov Airlines,saratov-airlines
6Y,active,Smartlynx Airlines,smartlynx-airlines,Smartlynx Airlines,smartlynx-airlines
7C,active,Coyne Airways,coyne-airways-airlines,Jeju Air,jeju-air-airlines
7C,inactive,Jeju Air,,Jeju Air,jeju-air-airlines
7D,inactive,Donbassaero Airlines,,translation missing: en.airlines.7D,translation-missing-en7d-airlines
7E,active,Sylt Air,sylt-air-airlines,Sylt Air,sylt-air-airlines
7F,active,First Air,first-air-airlines,First Air,first-air-airlines
7G,active,Star Flyer,star-flyer-airlines,Star Flyer,star-flyer-airlines
7I,active,Insel Air,insel-air-airlines,Insel Air,insel-air-airlines
7L,active,Aero Caribbean,aero-caribbean-airlines,Silk Way West Airlines,silk-way-west-airlines
7M,active,Mistral Air,mistral-air-airlines,Mistral Air,mistral-air-airlines
7P,active,Air Panama,air-panama-airlines,Air Panama,air-panama-airlines
7P,inactive,Batavia Air,,Air Panama,air-panama-airlines
7R,active,RusLine,rusline-airlines,RusLine,rusline-airlines
7R,inactive,BRA Transportes Aéreos,,RusLine,rusline-airlines
7S,active,Ryan Air,ryan-air-airlines,Ryan Air,ryan-air-airlines
7V,active,Pelican Air Services,pelican-air-services-airlines,Federal Airlines,federal-airlines
7V,inactive,Federal Air,,Federal Airlines,federal-airlines
8A,inactive,AtlasBlue,,translation missing: en.airlines.8A,translation-missing-en8a-airlines
8B,active,Business Air,business-air-airlines,Business Air,business-air-airlines
8D,active,FITS Air,fits-air-airlines,FITS Air,fits-air-airlines
8E,active,Bering Air,bering-air-airlines,Bering Air,bering-air-airlines
8F,active,STP Airways,stp-airways-airlines,STP Airways,stp-airways-airlines
8L,active,Lucky Air,lucky-air-airlines,Lucky Air,lucky-air-airlines
8M,active,Myanmar Intl,myanmar-intl-airlines,Myanmar Intl,myanmar-intl-airlines
8P,active,Pacific Coastal,pacific-coastal-airlines,Pacific Coastal,pacific-coastal-airlines
8Q,active,Onur Air,onur-air-airlines,Onur Air,onur-air-airlines
8R,inactive,SOL Lineas Aereas,,translation missing: en.airlines.8R,translation-missing-en8r-airlines
8R,inactive,TRIP Linhas Aéreas,,translation missing: en.airlines.8R,translation-missing-en8r-airlines
8T,active,Air Tindi,air-tindi-airlines,Air Tindi,air-tindi-airlines
8U,active,Afriqiyah Airways,afriqiyah-airways-airlines,Afriqiyah Airways,afriqiyah-airways-airlines
8V,active,Wright Air Service,wright-air-service-airlines,Wright Air Service,wright-air-service-airlines
8V,inactive,Astral Aviation,,Wright Air Service,wright-air-service-airlines
9C,active,Spring Airlines,spring-airlines,Spring Airlines,spring-airlines
9C,inactive,Wimbi Dira Airways,,Spring Airlines,spring-airlines
9D,inactive,Toumai Air Tchad,,translation missing: en.airlines.9D,translation-missing-en9d-airlines
9E,active,XL Airways Germany,xl-airways-germany-airlines,Endeavor Air,endeavor-air-airlines
9H,active,Dutch Antilles,dutch-antilles-airlines,Dutch Antilles,dutch-antilles-airlines
9J,active,Dana Airlines,dana-airlines,Dana Airlines,dana-airlines
9K,active,Cape Air,cape-air-airlines,Cape Air,cape-air-airlines
9M,active,Central Mountain,central-mountain-airlines,Central Mountain,central-mountain-airlines
9N,active,ANA & JP Express,ana-jp-express-airlines,Tropic Air,tropic-air-airlines
9N,inactive,Tropic Air,,Tropic Air,tropic-air-airlines
9Q,active,Pbair,pbair-airlines,Caicos Express Airways,caicos-express-airways-airlines
9R,active,SATENA,satena-airlines,SATENA,satena-airlines
9R,inactive,Phuket Air,,SATENA,satena-airlines
9U,active,Air Moldova,air-moldova-airlines,Air Moldova,air-moldova-airlines
9V,active,AMC Airlines,amc-airlines,Avior Airlines,avior-airlines
9V,inactive,Avior Airlines,,Avior Airlines,avior-airlines
9W,active,Jet Airways,jet-airways-airlines,Jet Airways,jet-airways-airlines
9W-K,inactive,Jet Konnect,,translation missing: en.airlines.9W-K,translation-missing-en9w-k-airlines
9Y,inactive,Fly Georgia,,translation missing: en.airlines.9Y,translation-missing-en9y-airlines
A2,active,Astra Airlines,astra-airlines,Astra Airlines,astra-airlines
A2,inactive,Cielos Airlines,,Astra Airlines,astra-airlines
A3,active,Aegean Airlines,aegean-airlines,Aegean Airlines,aegean-airlines
A4,active,Aerocon,aerocon-airlines,Aerocon,aerocon-airlines
A5,active,Airlinair,airlinair-airlines,Airlinair,airlinair-airlines
A7,active,Air Comet,air-comet-airlines,Calafia Airlines,calafia-airlines
A8,active,Ameriflight,ameriflight-airlines,Ameriflight,ameriflight-airlines
A8,inactive,Benin Golf Air,,Ameriflight,ameriflight-airlines
A9,active,Georgian Airways,georgian-airways-airlines,Airzena Georgian,airzena-georgian-airlines
AA,active,American Airlines,american-airlines,American Airlines,american-airlines
AB,active,Air Berlin,air-berlin-airlines,Air Berlin,air-berlin-airlines
AC,active,Air Canada,air-canada-airlines,Air Canada,air-canada-airlines
AD,active,Azul Brazilian Airlines,azul-brazilian-airlines,Azul Brazilian Airlines,azul-brazilian-airlines
AE,active,Mandarin Airlines,mandarin-airlines,Mandarin Airlines,mandarin-airlines
AF,active,Air France,air-france-airlines,Air France,air-france-airlines
AH,active,Air Algerie,air-algerie-airlines,Air Algerie,air-algerie-airlines
AI,active,Air India,air-india-airlines,Air India,air-india-airlines
AI,inactive,Airmark IndonesianAviation,,Air India,air-india-airlines
AK,active,Air Asia,air-asia-airlines,Air Asia,air-asia-airlines
AM,active,Aeromexico,aeromexico-airlines,Aeromexico,aeromexico-airlines
AP,active,Air One,air-one-airlines,Air One,air-one-airlines
AR,active,Aerolineas Argentinas,aerolineas-argentinas-airlines,Aerolineas Argentinas,aerolineas-argentinas-airlines
AS,active,Alaska Airlines,alaska-airlines,Alaska Airlines,alaska-airlines
AT,active,Royal Air Maroc,royal-air-maroc-airlines,Royal Air Maroc,royal-air-maroc-airlines
AV,active,Avianca Aerovias,avianca-aerovias-airlines,Avianca Aerovias,avianca-aerovias-airlines
AW,active,Dirgantara Air Service,dirgantara-air-service-airlines,Africa World Airlines,africa-world-airlines
AW,inactive,Africa World Airlines,,Africa World Airlines,africa-world-airlines
AY,active,Finnair,finnair-airlines,Finnair,finnair-airlines
AZ,active,Alitalia,alitalia-airlines,Alitalia,alitalia-airlines
B2,active,Belavia,belavia-airlines,Belavia,belavia-airlines
B3,active,Bellview Airlines,bellview-airlines,Bellview Airlines,bellview-airlines
B5,active,Flightline,flightline-airlines,East African Safari Air,east-african-safari-air-airlines
B5,inactive,East African Safari Air,,East African Safari Air,east-african-safari-air-airlines
B6,active,JetBlue Airways,jetblue-airways-airlines,JetBlue Airways,jetblue-airways-airlines
B7,active,Uni Air,uni-air-airlines,UNI Corporation,uni-corporation-airlines
B8,active,Eritrean Airlines,eritrean-airlines,Eritrean Airlines,eritrean-airlines
BA,active,British Airways,british-airways-airlines,British Airways,british-airways-airlines
BB,active,Seaborne Airlines,seaborne-airlines,Seaborne Airlines,seaborne-airlines
BC,active,Skymark Airlines,skymark-airlines,Skymark Airlines,skymark-airlines
BE,active,FlyBe,flybe-airlines,FlyBe,flybe-airlines
BF,active,Aéro-Service,aro-service-airlines,Bluebird Cargo,bluebird-cargo-airlines
BF,inactive,Bluebird Cargo,,Bluebird Cargo,bluebird-cargo-airlines
BG,active,Biman Bangladesh,biman-bangladesh-airlines,Biman Bangladesh,biman-bangladesh-airlines
BH,active,Hawkair,hawkair-airlines,Hawkair,hawkair-airlines
BI,active,Royal Brunei Air,royal-brunei-air-airlines,Royal Brunei Air,royal-brunei-air-airlines
BJ,active,Nouvelair,nouvelair-airlines,Nouvelair,nouvelair-airlines
BK,active,Okay Airways,okay-airways-airlines,Okay Airways,okay-airways-airlines
BL,active,Jetstar Pacific Airlines,jetstar-pacific-airlines,Pacific Airlines,pacific-airlines
BM,active,British Midland Regional,british-midland-regional-airlines,British Midland Regional,british-midland-regional-airlines
BP,active,Air Botswana Corp,air-botswana-corp-airlines,Air Botswana Corp,air-botswana-corp-airlines
BR,active,EVA Corporation,eva-corporation-airlines,EVA Corporation,eva-corporation-airlines
BT,active,Air Baltic,air-baltic-airlines,Air Baltic,air-baltic-airlines
BV,active,Blue Panorama Air,blue-panorama-air-airlines,Blue Panorama Air,blue-panorama-air-airlines
BW,active,Carribean Airlines,carribean-airlines,Carribean Airlines,carribean-airlines
BX,active,Air Busan,air-busan-airlines,Air Busan,air-busan-airlines
C7,active,Rico Linhas Aéreas,rico-linhas-areas-airlines,Cinnamon Air,cinnamon-air-airlines
C7,inactive,Samarkand Airways,,Cinnamon Air,cinnamon-air-airlines
C7,inactive,Cinnamon Air,,Cinnamon Air,cinnamon-air-airlines
C8,active,Cargolux Italia,cargolux-italia-airlines,Cargolux Italia,cargolux-italia-airlines
C9,active,Cirrus Airlines,cirrus-airlines,Cirrus Airlines,cirrus-airlines
CA,active,Air China,air-china-airlines,Community  Airlines,community-airlines
CA,inactive,Community  Airlines,,Community  Airlines,community-airlines
CF,active,City Airline AB,city-ab-airlines,City Airline AB,city-ab-airlines
CG,active,PNG Air,png-air-airlines,Papua New Guinea,papua-new-guinea-airlines
CI,active,China Airlines,china-airlines,China Airlines,china-airlines
CM,active,Copa Airlines,copa-airlines,COPA Panama,copa-panama-airlines
CN,active,Grand China Air,grand-china-air-airlines,Grand China Air,grand-china-air-airlines
CO,active,Continental,continental-airlines,Continental,continental-airlines
CT,active,Alitalia CityLiner,alitalia-cityliner-airlines,Alitalia CityLiner,alitalia-cityliner-airlines
CU,active,Cubana de Aviacion,cubana-de-aviacion-airlines,Cubana de Aviacion,cubana-de-aviacion-airlines
CX,active,Cathay Pacific,cathay-pacific-airlines,Cathay Pacific,cathay-pacific-airlines
CY,active,Cyprus Airways,cyprus-airways-airlines,Cyprus Airways,cyprus-airways-airlines
CZ,active,China Southern,china-southern-airlines,China Southern,china-southern-airlines
D2,active,Severstal Aircompany,severstal-aircompany-airlines,Dynamic Airways,dynamic-airways-airlines
D2,inactive,Dynamic Airways,,Dynamic Airways,dynamic-airways-airlines
D3,active,Daallo Airlines,daallo-airlines,Daallo Airlines,daallo-airlines
D4,active,Alidaunia,alidaunia-airlines,Alidaunia,alidaunia-airlines
D6,inactive,Interair S. Africa,,translation missing: en.airlines.D6,translation-missing-end6-airlines
D7,active,Air Asia X,air-asia-x-airlines,Air Asia X,air-asia-x-airlines
DC,active,Braathens Regional,braathens-regional-airlines,Braathens Regional,braathens-regional-airlines
DD,active,Nok Air,nok-air-airlines,Nok Air,nok-air-airlines
DE,active,Condor,condor-airlines,Condor,condor-airlines
DG,active,South East Asian Airlines,south-east-asian-airlines,South East Asian Airlines,south-east-asian-airlines
DL,active,Delta,delta-airlines,Delta,delta-airlines
DN,inactive,Deccan Charters,,translation missing: en.airlines.DN,translation-missing-endn-airlines
DO,inactive,Air Vallée,,translation missing: en.airlines.DO,translation-missing-endo-airlines
DS,active,easyJet Switzerland,easyjet-switzerland-airlines,easyJet Switzerland,easyjet-switzerland-airlines
DT,active,TAAG Angola Airlines,taag-angola-airlines,TAAG Angola Airlines,taag-angola-airlines
DV,active,SCAT Air,scat-air-airlines,SCAT Air,scat-air-airlines
DX,active,Danish Air Transport,danish-air-transport-airlines,Danish Air Transport,danish-air-transport-airlines
DY,active,Norwegian Shuttle,norwegian-shuttle-airlines,Norwegian Shuttle,norwegian-shuttle-airlines
E3,active,Domodedovo Air,domodedovo-air-airlines,Domodedovo Air,domodedovo-air-airlines
E5,active,Samara Airlines,samara-airlines,Samara Airlines,samara-airlines
E8,inactive,Brighton City Airways,,translation missing: en.airlines.E8,translation-missing-ene8-airlines
EA,active,Horizon Air,horizon-air-airlines,Eastern Air Lines Group Inc.,eastern-group-inc-airlines
EF,inactive,Eznis Airways,,translation missing: en.airlines.EF,translation-missing-enef-airlines
EG,active,Enerjet,enerjet-airlines,Enerjet,enerjet-airlines
EI,active,Aer Lingus,aer-lingus-airlines,Aer Lingus,aer-lingus-airlines
EK,active,Emirates,emirates-airlines,Emirates,emirates-airlines
EL,active,Air Nippon Co,air-nippon-co-airlines,Air Nippon Co,air-nippon-co-airlines
EN,active,Air Dolomiti,air-dolomiti-airlines,Air Dolomiti,air-dolomiti-airlines
EP,active,Iran Aseman Airlines,iran-aseman-airlines,Iran Aseman Airlines,iran-aseman-airlines
EQ,active,TAME Linea Aerea del Ecuador,tame-linea-aerea-del-ecuador-airlines,TAME Linea Aerea del Ecuador,tame-linea-aerea-del-ecuador-airlines
ET,active,Ethiopian Air,ethiopian-air-airlines,Ethiopian Air,ethiopian-air-airlines
EU,active,Chengdu Airlines,chengdu-airlines,Chengdu Airlines,chengdu-airlines
EW,active,Eurowings,eurowings-airlines,Eurowings,eurowings-airlines
EY,active,Etihad Airways,etihad-airways-airlines,Etihad Airways,etihad-airways-airlines
F2,active,Safarilink Aviation,safarilink-aviation-airlines,Safarilink Aviation,safarilink-aviation-airlines
F9,active,Frontier,frontier-airlines,Frontier,frontier-airlines
FB,active,Bulgaria Air,bulgaria-air-airlines,Bulgaria Air,bulgaria-air-airlines
FE,active,Far Eastern Air Transport,far-eastern-air-transport-airlines,Far Eastern Air Transport,far-eastern-air-transport-airlines
FG,active,Ariana Afghan Airlines,ariana-afghan-airlines,Ariana Afghan Airlines,ariana-afghan-airlines
FI,active,Icelandair,icelandair-airlines,Icelandair,icelandair-airlines
FJ,active,Fiji Airways,fiji-airways-airlines,Fiji Airways,fiji-airways-airlines
FL,active,AirTran,airtran-airlines,AirTran,airtran-airlines
FM,active,Shanghai Air,shanghai-air-airlines,Shanghai Air,shanghai-air-airlines
FN,active,Regional Air Lines,regional-airlines,Regional Air Lines,regional-airlines
FO,inactive,Felix Airways,,translation missing: en.airlines.FO,translation-missing-enfo-airlines
FS,active,Syphax Airlines,syphax-airlines,Syphax Airlines,syphax-airlines
FT,active,Siem Reap Airways International,siem-reap-airways-international-airlines,Siem Reap Airways International,siem-reap-airways-international-airlines
FW,active,IBEX Airlines,ibex-airlines,IBEX Airlines,ibex-airlines
FY,active,Firefly,firefly-airlines,Firefly,firefly-airlines
FZ,active,Flydubai,flydubai-airlines,Flydubai,flydubai-airlines
G5,active,China Express Airlines,china-express-airlines,China Express Airlines,china-express-airlines
G7,active,GoJet Airlines,gojet-airlines,GoJet Airlines,gojet-airlines
G8,active,GoAir,goair-airlines,GoAir,goair-airlines
G9,active,Air Arabia,air-arabia-airlines,Air Arabia,air-arabia-airlines
GA,active,Garuda Indonesia,garuda-indonesia-airlines,Garuda Indonesia,garuda-indonesia-airlines
GE,active,TransAsia Corp,transasia-corp-airlines,TransAsia Corp,transasia-corp-airlines
GF,active,Gulf Air,gulf-air-airlines,Gulf Air,gulf-air-airlines
GJ,active,Eurofly S.p.A.,eurofly-spa-airlines,Eurofly S.p.A.,eurofly-spa-airlines
GK,active,Jetstar Japan,jetstar-japan-airlines,Jetstar Japan,jetstar-japan-airlines
GL,active,Air Greenland,air-greenland-airlines,Air Greenland,air-greenland-airlines
GQ,active,Big Sky Airlines,big-sky-airlines,Big Sky Airlines,big-sky-airlines
GR,active,Aurigny Air,aurigny-air-airlines,Aurigny Air,aurigny-air-airlines
GS,active,Tianjin Airlines,tianjin-airlines,Grant Aviation,grant-aviation-airlines
GU,active,AVIATECA,aviateca-airlines,AVIATECA,aviateca-airlines
GV,active,Sky Gabon,sky-gabon-airlines,Sky Gabon,sky-gabon-airlines
GZ,active,Air Rarotonga,air-rarotonga-airlines,Air Rarotonga,air-rarotonga-airlines
H2,active,Sky Airline,sky-airlines,Sky Airline,sky-airlines
H7,active,Eagle Air,eagle-air-airlines,Eagle Air,eagle-air-airlines
HD,active,Air Do,air-do-airlines,Air Do,air-do-airlines
HF,active,Air Cote DIvoire,air-cote-divoire-airlines,Air Cote DIvoire,air-cote-divoire-airlines
HG,active,FlyNiki,flyniki-airlines,FlyNiki,flyniki-airlines
HH,active,Taban Airlines,taban-airlines,Taban Airlines,taban-airlines
HI,active,Papillon Airways,papillon-airways-airlines,Papillon Airways,papillon-airways-airlines
HK,active,Hamburg Airways,hamburg-airways-airlines,Hamburg Airways,hamburg-airways-airlines
HK,inactive,Four Star Air Cargo,,Hamburg Airways,hamburg-airways-airlines
HM,active,Air Seychelles,air-seychelles-airlines,Air Seychelles,air-seychelles-airlines
HO,active,Juneyao Airlines,juneyao-airlines,Juneyao Airlines,juneyao-airlines
HR,active,Hahn Air,hahn-air-airlines,Hahn Air Lines,hahn-airlines
HU,active,Hainan Airlines,hainan-airlines,Hainan Airlines,hainan-airlines
HV,active,Transavia Airlines,transavia-airlines,Transavia Airlines,transavia-airlines
HW,active,North Wright Airways,north-wright-airways-airlines,North Wright Airways,north-wright-airways-airlines
HY,active,Uzbekistan,uzbekistan-airlines,Uzbekistan,uzbekistan-airlines
HZ,active,SAT Airlines,sat-airlines,Jsc Aurora Airlines,jsc-aurora-airlines
HZ,inactive,Aurora Airlines,,Jsc Aurora Airlines,jsc-aurora-airlines
I6,inactive,MexicanaLink,,translation missing: en.airlines.I6,translation-missing-eni6-airlines
I6,inactive,Air Indus,,translation missing: en.airlines.I6,translation-missing-eni6-airlines
I9,active,Air Italy,air-italy-airlines,Air Italy,air-italy-airlines
IB,active,Iberia,iberia-airlines,Iberia,iberia-airlines
IC,inactive,Air India IC,,translation missing: en.airlines.IC,translation-missing-enic-airlines
ID,active,Interlink,interlink-airlines,Interlink,interlink-airlines
IE,active,Solomon Airlines,solomon-airlines,Solomon Airlines,solomon-airlines
IF,active,Islas Airways,islas-airways-airlines,Islas Airways,islas-airways-airlines
IG,active,Meridiana,meridiana-airlines,Meridiana,meridiana-airlines
IK,active,Imair Airline,imair-airlines,Imair Airline,imair-airlines
IL,active,Trigana Air Service,trigana-air-service-airlines,Trigana Air Service,trigana-air-service-airlines
IN,active,MAT Macedonian  Airlines,mat-macedonian-airlines,MAT Macedonian  Airlines,mat-macedonian-airlines
IO,active,IrAero,iraero-airlines,IrAero,iraero-airlines
IR,active,Iran Air,iran-air-airlines,Iran Air,iran-air-airlines
IT,active,Kingfisher,kingfisher-airlines,Tigerair Taiwan Co. Ltd,tigerair-taiwan-co-ltd-airlines
IT-RED,inactive,Kingfisher Red,,translation missing: en.airlines.IT-RED,translation-missing-enit-red-airlines
IV,active,Wind Jet S.p.A.,wind-jet-spa-airlines,Wind Jet S.p.A.,wind-jet-spa-airlines
IX,active,Air India Express,air-india-express-airlines,Air India Express,air-india-express-airlines
IY,active,Yemenia Yemen,yemenia-yemen-airlines,Yemenia Yemen,yemenia-yemen-airlines
IZ,active,Arkia Israeli,arkia-israeli-airlines,Arkia Israeli,arkia-israeli-airlines
J2,active,Azal Avia Cargo,azal-avia-cargo-airlines,Azerbaijan Airlines,azerbaijan-airlines
J2,inactive,Azerbaijan Airlines,,Azerbaijan Airlines,azerbaijan-airlines
J3,active,Northwestern Air,northwestern-air-airlines,Northwestern Air,northwestern-air-airlines
J4,active,Buffalo Airways,buffalo-airways-airlines,Badr Airlines,badr-airlines
J4,inactive,Badr Airlines,,Badr Airlines,badr-airlines
J5,active,Donghai Airlines,donghai-airlines,Alaska Seaplane,alaska-seaplane-airlines
J8,active,Berjaya Air Bhd,berjaya-air-bhd-airlines,Berjaya Air Bhd,berjaya-air-bhd-airlines
J9,active,Jazeera Airways,jazeera-airways-airlines,Jazeera Airways,jazeera-airways-airlines
JA,active,Jagson Airlines,jagson-airlines,BH Airlines,bh-airlines
JA,inactive,BH Airlines,,BH Airlines,bh-airlines
JC,active,JAL Express,jal-express-airlines,JAL Express,jal-express-airlines
JD,active,Beijing Capital Airlines,beijing-capital-airlines,Beijing Capital Airlines,beijing-capital-airlines
JF,active,LAB Flying,lab-flying-airlines,LAB Flying,lab-flying-airlines
JG,active,Jetgo Australia,jetgo-australia-airlines,Jetgo Australia,jetgo-australia-airlines
JH,active,Fuji Dream Airlines,fuji-dream-airlines,Fuji Dream Airlines,fuji-dream-airlines
JH,inactive,FLEX Linhas Aéreas,,Fuji Dream Airlines,fuji-dream-airlines
JJ,active,Aviogenex,aviogenex-airlines,TAM Linhas Aereas,tam-linhas-aereas-airlines
JJ,inactive,TAM Linhas Aereas,,TAM Linhas Aereas,tam-linhas-aereas-airlines
JK,inactive,Spanair S.A.,,translation missing: en.airlines.JK,translation-missing-enjk-airlines
JL,active,Japan Airlines,japan-airlines,Japan Airlines,japan-airlines
JM,active,Air Jamaica,air-jamaica-airlines,Air Jamaica,air-jamaica-airlines
JO,active,JALways Co. Ltd.,jalways-co-ltd-airlines,JALways Co. Ltd.,jalways-co-ltd-airlines
JP,active,Adria Airways,adria-airways-airlines,Adria Airways,adria-airways-airlines
JQ,active,Jetstar,jetstar-airlines,Jetstar,jetstar-airlines
JR,active,Joy Air,joy-air-airlines,Joy Air,joy-air-airlines
JS,active,Air Koryo,air-koryo-airlines,Air Koryo,air-koryo-airlines
JT,active,Lion Airlines,lion-airlines,Lion Airlines,lion-airlines
JU,active,Air Serbia,air-serbia-airlines,Air Serbia,air-serbia-airlines
JU,inactive,Jat Airways,,Air Serbia,air-serbia-airlines
JV,active,Bearskin Airlines,bearskin-airlines,Bearskin Airlines,bearskin-airlines
JW,active,Vanilla Air,vanilla-air-airlines,Vanilla Air,vanilla-air-airlines
JW,inactive,Vanilla Air,,Vanilla Air,vanilla-air-airlines
JY,active,Intercaribbean Airways,intercaribbean-airways-airlines,Intercaribbean Airways,intercaribbean-airways-airlines
K2,active,Eurolot,eurolot-airlines,Airlift Alaska,airlift-alaska-airlines
K2,inactive,Kyrgyzstan  Airlines,,Airlift Alaska,airlift-alaska-airlines
